Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.82,0.79,0.79,0.82,0.07
XGBClassifier,0.83,0.78,0.78,0.83,0.07
NuSVC,0.84,0.77,0.77,0.84,0.03
SVC,0.83,0.76,0.76,0.83,0.02
BaggingClassifier,0.83,0.76,0.76,0.83,0.03
PassiveAggressiveClassifier,0.77,0.76,0.76,0.78,0.01
ExtraTreesClassifier,0.82,0.76,0.76,0.82,0.11
Perceptron,0.75,0.75,0.75,0.77,0.01
RandomForestClassifier,0.81,0.75,0.75,0.81,0.15
NearestCentroid,0.74,0.74,0.74,0.76,0.01
GaussianNB,0.81,0.73,0.73,0.8,0.01
QuadraticDiscriminantAnalysis,0.81,0.73,0.73,0.8,0.01
RidgeClassifierCV,0.83,0.73,0.73,0.82,0.01
RidgeClassifier,0.83,0.73,0.73,0.82,0.01
LinearSVC,0.83,0.73,0.73,0.82,0.03
LogisticRegression,0.83,0.73,0.73,0.82,0.01
LinearDiscriminantAnalysis,0.83,0.73,0.73,0.82,0.01
CalibratedClassifierCV,0.83,0.73,0.73,0.82,0.11
DecisionTreeClassifier,0.74,0.7,0.7,0.75,0.01
KNeighborsClassifier,0.79,0.7,0.7,0.79,0.01
AdaBoostClassifier,0.79,0.7,0.7,0.79,0.08
SGDClassifier,0.78,0.69,0.69,0.78,0.01
ExtraTreeClassifier,0.73,0.68,0.68,0.74,0.01
BernoulliNB,0.75,0.68,0.68,0.76,0.01
LabelSpreading,0.74,0.65,0.65,0.74,0.02
LabelPropagation,0.74,0.65,0.65,0.74,0.02
DummyClassifier,0.75,0.5,0.5,0.65,0.01